	MK1_Ctrl	MK1_Ezh2	MK1_GSK	MK1_panT	SC2_Ctrl	SC2_Ezh2	SC2_GSK	SC2_Sima
A1BG	0.123474210414169	0.108102992265436	0.076021729112758	0.154122242676189	0.0467798174360311	0.0464461290673806	0.0492879592072549	0.0241338443130698
A1BG-AS1	0.0987507086006421	0.0895050261733891	0.116490491482304	0.106037730493992	0.043838766962574	0.066522106248777	0.0541253933973336	0.037875750247633
A1CF	0	0	0	0	0.00807040738017081	0.00181431487241254	0	0.000935728547639116
A2M	0	0	0	0	0	0.00904884348910379	0.00100244288571136	0
A2M-AS1	0	0.000905008220201335	0	0	0.0240770348407022	0.0144510314185591	0.00600423578932535	0
A2ML1	0	0	0	0	0	0.00090744264359124	0.00100244288571136	0
A2MP1	0	0	0	0	0	0	0	0
A3GALT2	0	0.000905008220201335	0.000940179521146817	0.00191232954123361	0.00202183819888801	0.00453151623021515	0.00899700890555479	0.0111888845017268
A4GALT	0.00551425050991577	0	0.0297859420309812	0.000956481625868699	0.00101127328286897	0.00090744264359124	0.00600423578932535	0
A4GNT	0	0.00361663156738878	0	0.00763415598974026	0.00101127328286897	0.00181431487241254	0	0
AA06	0	0	0	0	0	0	0	0
AAAS	0.753160099733875	0.756165706717229	0.680190337360798	0.609678830525189	0.762986321565008	0.781706520689361	0.612548153327156	0.671755778276234
AACS	0.654240213684813	0.58688534494215	0.527403722659332	0.557973757740854	0.531335460000051	0.53153460436632	0.422120011312781	0.480393423740807
AACSP1	0.00184042632997661	0	0	0	0.00303169573974167	0.00090744264359124	0.00899700890555479	0
AADAC	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0.00101127328286897	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0
AADACP1	0	0	0	0	0	0.00090744264359124	0	0
AADAT	0.374940790927942	0.493519709345498	0.399200347713175	0.34925494935437	0.414756114433274	0.351158873595618	0.360969327757899	0.0924488797403491
AAGAB	0.761331612154934	0.839978424449394	0.766755605948254	0.570269517152526	0.333592931895056	0.318047401150997	0.31091980865857	0.2944695842609
AAK1	0.192785062840457	0.311456922798084	0.241082040625092	0.294917956410516	0.360632637238345	0.351158873595618	0.344478327155437	0.379672977001008
AAMDC	0.154415070350699	0.119814440407078	0.14823727774627	0.0908450745073825	0.0987185531658681	0.10078494479411	0.10162802720687	0.0756709906262629
AAMP	1.19206637401368	1.15372840218117	1.28574591370823	1.21068004555533	0.712639389882789	0.930096324882055	0.890840185638636	1.11151045681268
AANAT	0	0.00180944908110813	0	0.00477607940763233	0.0240770348407022	0.0323136126378054	0.00100244288571136	0.0906919465148556
AAR2	0.600597457226181	0.602471676652575	0.762881094478551	0.559272994181124	0.387948169857837	0.428736332607809	0.43627018566151	0.578931836422155
AARD	0	0	0	0	0.0555671656514793	0.0786068780062336	0.0599089848180412	0.0333096432736935
AARS1	1.4837122221281	1.55099526392787	1.71555986326522	1.63582733057978	1.59228661406128	1.77632479265921	2.20810571403236	1.9045068291961
AARS2	0.685493859049626	0.611980235923254	0.606745357332606	0.508387988441757	0.8945101008032	0.893428098565606	0.657107633909002	0.969115921701325
AARSD1	0.0110075047483647	0.011721055210683	0.0214706150074618	0.00382212759544648	0.012088744327541	0	0.00600423578932535	0.00560528920908182
AASDH	0.312545312656836	0.274512429848549	0.281878991057604	0.318894650207308	0.342396651357986	0.303410634354833	0.363309871997705	0.269061071820941
AASDHPPT	1.14662383836412	0.888219889024152	1.14654367094964	1.27890556768468	0.136020958006479	0.0846115140077053	0.114653200844565	0.110768641444703
AASS	0	0.000905008220201335	0.0121748012287584	0	0.985198829521608	0.742095244550358	1.37778366109815	0.275261927246766
AATBC	0.054216414751667	0.0471998869353939	0.0353029858321037	0.059971200826732	0.243323258601167	0.296775329013998	0.0761710264681815	1.03500624703363
AATF	0.00734766027167926	0.0027133232936419	0.00187974674248881	0	0.00101127328286897	0	0	0
AATK	0.711593515431156	0.355991991083516	0.557111262906209	0.411004846484233	0.239900721320103	0.252504682145764	0.225157566904527	0.212828231814556
ABALON	0.783968642559522	0.715395441428107	0.898216950793878	1.10566634978206	0.183115437548469	0.275934808325968	0.19393818064592	0.404636337007421
ABAT	0.0201167019087484	0.0419333653767518	0.0223969105582606	0.000956481625868699	0.123074541517866	0.149882250166014	0.24813660428813	0.0568971352752395
ABCA1	0.512974586781712	0.542201582606926	0.65173843900094	1.03924717862629	0.865931289226676	0.924846419000175	0.91337705823009	1.51967745906285
ABCA10	0.0762187528655846	0.0576756026981454	0.0598718781983288	0.123708992157337	0.00202183819888801	0	0.0080001075194065	0.0158254295759505
ABCA11P	0.131061663622355	0.145413497115582	0.0981563274395888	0.18643221393381	0.066235076700683	0.0708497260139134	0.0376115066997334	0.0532932969967628
ABCA12	0.00459667116104908	0.00632316783180849	0	0	0.16518364446584	0.234871794563512	0.117429075513975	0.440255278920071
ABCA13	0.00734766027167926	0.00451937461060254	0.00563190854674418	0	0	0	0	0
ABCA17P	0.00917874305137172	0.00361663156738878	0.000940179521146817	0.00858559133523213	0.0949347119770062	0.122627230933616	0.116504377278557	0.0433360705889176
ABCA2	2.53786764854781	2.43497906543198	2.74040309795969	3.16035905086393	1.03195858694262	0.937224638221385	1.78753652738409	0.555558001808798
ABCA3	0.981099897018514	1.10152655057794	1.27257048587638	1.32317021318826	0.248441888708601	0.208404541791138	0.904297358777934	0.0721138029294138
ABCA4	0	0	0	0	0	0	0	0
ABCA5	1.13241320650097	1.12080398671913	1.03347138866693	1.69553563123233	0.441074991731679	0.309283172619951	0.811926409894874	0.427784058877934
ABCA6	0.00643124663314559	0.0188869647731946	0.00375704747225144	0.0881473303888529	0	0	0	0
ABCA7	1.42696779744263	1.69047406832754	1.39312975466355	1.82863267655806	1.0690766288238	0.93959293725317	0.626905528526388	0.878849876986993
ABCA8	0	0	0	0	0	0	0	0
ABCA9	0.00184042632997661	0	0.00656842619319756	0.0274837079490679	0	0	0	0.00280536687488088
ABCA9-AS1	0	0	0	0	0.00101127328286897	0	0	0
ABCB1	0	0	0	0	0	0	0	0
ABCB10	0.46308080096769	0.543444415461889	0.493067767300946	0.381195066742288	0.323927204416204	0.267664379375067	0.453215705722159	0.155995539717288
ABCB11	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0.101549935566239	0.0905912616864253	0.0627921090550553	0.0959563403403129
ABCB5	0	0	0	0	0.0758651972938176	0.087177298523564	0.0119835865665576	0.0369636842535608
ABCB6	0.60544729757371	0.597095442639377	0.500399604019592	0.487384093860447	0.786049945410443	0.719671015822436	0.896238127314233	0.85937647214671
ABCB7	0.430656040129494	0.3805386644792	0.42184254436666	0.379725055382948	0.53343381143481	0.437476513851401	0.62820368711085	0.473668463639777
ABCB8	0.57300909033028	0.609015537652448	0.505045992485046	0.525771392626512	0.972881680572402	0.988907173071577	0.903225392231701	0.932311568552722
ABCB9	0.401673975496326	0.420994738213838	0.404894298474039	0.55992217389837	0.184006203143491	0.162102703620132	0.191305811903426	0.228891467844595
ABCC1	0.0683365117198295	0.0628850730767029	0.076021729112758	0.0691205380252322	1.13458755407083	0.987076543166949	0.897315296262314	1.21351939476959
ABCC10	0.328765615699298	0.421670751061937	0.38989947828212	0.568335034832523	0.641790487353832	0.854800042742392	0.509949115554652	0.943549135613161
ABCC11	0.0354715487731717	0.0663476320197687	0.0499127828379445	0.0682082109560425	0.036952909586693	0.0287587456881671	0.0366341897512519	0.0622860692946966
ABCC12	0.0164799220014497	0.0108228086733338	0.0223969105582606	0.0152281276734857	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0
ABCC2	0.00551425050991577	0.0126187428323914	0.00656842619319756	0.00763415598974026	0.0180953418602317	0.020728123249526	0.0169475177767891	0.0167509531528615
