Description,pvalue
HALLMARK_COAGULATION,9.033616150834733e-31
HALLMARK_APOPTOSIS,1.5389676668233e-26
HALLMARK_DNA_REPAIR,1.1357892033772317e-24
HALLMARK_APICAL_JUNCTION,1.3403191000319048e-20
HALLMARK_INTERFERON_GAMMA_RESPONSE,9.46688929269333e-17
HALLMARK_BILE_ACID_METABOLISM,6.400702711000031e-16
HALLMARK_PANCREAS_BETA_CELLS,1.3507761064665778e-15
HALLMARK_COMPLEMENT,6.45887514245793e-14
HALLMARK_TGF_BETA_SIGNALING,2.1440047441129383e-13
HALLMARK_P53_PATHWAY,6.742763295273694e-12
HALLMARK_XENOBIOTIC_METABOLISM,3.0381317725964156e-11
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.364285116967001e-09
HALLMARK_ANDROGEN_RESPONSE,4.581817430476108e-09
HALLMARK_E2F_TARGETS,5.57704448754541e-09
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,8.848548289905877e-09
HALLMARK_ANGIOGENESIS,5.6889859576752324e-08
HALLMARK_APICAL_SURFACE,9.328142969852909e-08
HALLMARK_MYC_TARGETS_V2,9.645466912519317e-08
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4.603500452334641e-07
HALLMARK_GLYCOLYSIS,1.4579708610555278e-06
HALLMARK_INFLAMMATORY_RESPONSE,1.6045735278345787e-06
HALLMARK_HYPOXIA,3.324912136681695e-06
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0004794298574694308
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0005392521767814208
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0006133586644490409
HALLMARK_PEROXISOME,0.0010482437394852878
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0014465943427325882
HALLMARK_UV_RESPONSE_DN,0.0016483364994329612
HALLMARK_SPERMATOGENESIS,0.005056077290247843
HALLMARK_MTORC1_SIGNALING,0.005275401300542951
HALLMARK_PROTEIN_SECRETION,0.007711686619115717
HALLMARK_FATTY_ACID_METABOLISM,0.01324519592968371
HALLMARK_HEDGEHOG_SIGNALING,0.01366832110898174
HALLMARK_MYC_TARGETS_V1,0.022282877621283625
HALLMARK_IL2_STAT5_SIGNALING,0.03303587763028318
HALLMARK_HEME_METABOLISM,0.038158300790127546
HALLMARK_KRAS_SIGNALING_DN,0.045537081234708114
HALLMARK_UV_RESPONSE_UP,0.060642966114485074
HALLMARK_G2M_CHECKPOINT,0.08603666254413173
HALLMARK_ADIPOGENESIS,0.09068297046109744
HALLMARK_MITOTIC_SPINDLE,0.09740252009767923
HALLMARK_KRAS_SIGNALING_UP,0.13669905646950745
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.14062152523661378
HALLMARK_ALLOGRAFT_REJECTION,0.20640557408845883
HALLMARK_ESTROGEN_RESPONSE_LATE,0.212104076637957
HALLMARK_MYOGENESIS,0.287094968277167
HALLMARK_NOTCH_SIGNALING,0.43225948986875795
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.6430304332527563
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.8399400397121186
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.9042423240520514
