,P,EFFECTSIZE,TF,FDR,SNP,GENE
0,6.09917099792525e-05,-0.2375751664988108,CDC5L,0.0005068927743798311,,CDC5L
1,0.005094954730323481,0.1735242459315481,PPARG,0.01582898556993703,,PPARG
2,4.230975639983005e-06,-0.22870178992565302,HOXB8,7.96418943996801e-05,,HOXB8
3,1.1448335394737932e-08,-0.23222875215187938,NFATC1,1.221155775438713e-06,,NFATC1
4,0.19492525599849764,-0.06113127193013368,OVOL1,0.29422680150716624,,OVOL1
5,0.9204002096482966,-0.02243385592482494,ZNF219,0.9625100231616173,,ZNF219
6,0.5546810160029712,0.01398659993936462,TBX1,0.6718862202281327,,TBX1
7,0.576550678396446,0.015966670220881315,NFATC2,0.6884187204733684,,NFATC2
8,0.6111270247097558,0.03828704476472711,BHLHA15,0.7161334447888903,,BHLHA15
9,0.7221162935758692,0.028669262442132082,SOX4,0.8020139019830791,,SOX4
10,0.1801698013839128,0.034623952348906306,MAFK,0.27852336445822273,,MAFK
11,0.08716241040345554,-0.03445482999575278,HOXA7,0.15506165949752207,,HOXA7
12,1.3087826483142428e-09,-0.4162850400257804,TEF,2.0940522373027886e-07,,TEF
13,0.00021283501275604796,-0.1336077126034848,MXI1,0.0011351200680322557,,MXI1
14,0.21595209469946652,-0.029134361528562358,TEAD1,0.31269081585443115,,TEAD1
15,0.1830524699355358,-0.04126915856317695,EMX1,0.28027172430321273,,EMX1
16,0.0034510918605256797,-0.26128921173879804,TP73,0.012003797775741495,,TP73
17,0.18694900952286297,0.06192430560299411,THRA,0.284874681177696,,THRA
18,0.006791128416816019,-0.15617441514066888,YY1,0.019756009939828418,,YY1
19,0.0829051985873576,-0.07089470942344445,FOXP1,0.15159807741688247,,FOXP1
20,0.0045230126990329165,-0.14744935127076242,IRF3,0.014473640636905333,,IRF3
21,0.6111270247097558,-0.013238240885538266,CTCFL,0.7161334447888903,,CTCFL
22,0.0823851008080872,-0.10919355414334264,TCF7L2,0.15151282907234428,,TCF7L2
23,6.571039156556845e-05,-0.14309689039138246,BATF3,0.0005068927743798311,,BATF3
24,6.69430679076644e-07,-0.39835950230428974,TCF4,1.9474347027684187e-05,,TCF4
25,7.330604864422334e-07,-0.28641288275153964,SOX9,1.9548279638459557e-05,,SOX9
26,0.5866240945360526,-0.018798725621023582,HIVEP1,0.6978427890391704,,HIVEP1
27,0.04825914668525872,-0.08488137666999365,BPTF,0.09963178670505027,,BPTF
28,0.5217012786831814,0.023973591061605435,SIX5,0.6470713534054963,,SIX5
29,0.002692471624373129,0.20470110573881933,SPIB,0.010018499067434898,,SPIB
30,0.36068426360832095,0.015437796115948088,CUX1,0.4809701181375508,,CUX1
31,0.28337264548259977,-0.06451315217776596,HMGA2,0.39771599365978916,,HMGA2
32,0.890131363072711,0.0017166312297727249,RORA,0.9369803821818011,,RORA
33,0.9461045002536401,0.004619948112571673,TWIST1,0.9696556623616999,,TWIST1
34,0.00016852239776444285,0.16770975573582503,RFX1,0.0009986512460115132,,RFX1
35,0.010292639450956436,-0.1209150540186239,FOSL1,0.02744703853588383,,FOSL1
36,0.00015335745447484674,0.23709421436319816,ZFHX3,0.0009622428516068816,,ZFHX3
37,0.20524299807785584,0.044266346503633466,HLF,0.30127412561887096,,HLF
38,0.5988187295147736,-0.012433512559142046,NR3C2,0.7097110868323242,,NR3C2
39,0.0033229534267588297,-0.11717565307071576,SP4,0.011814945517364728,,SP4
40,0.953125647799183,0.01143114415374813,ZNF423,0.9713382397953457,,ZNF423
41,0.7309399791971565,0.02153996218687615,GRHL1,0.8065544598037588,,GRHL1
42,0.0662185560835423,0.08382054203482686,SMARCC2,0.12920693869959474,,SMARCC2
43,0.008978666683197516,0.11528775343618602,ETV6,0.02476873567778625,,ETV6
44,0.1830524699355358,0.04015521943406236,GCM1,0.28027172430321273,,GCM1
45,0.0074821452361801665,0.10820332788702491,SMAD3,0.021374837892891234,,SMAD3
46,0.0017125387469342406,0.09403227024046973,EMX2,0.006850154987736962,,EMX2
47,0.43433080863665374,-0.033209511392673585,RUNX1,0.5537285209710326,,RUNX1
48,0.19695776402373766,-0.07635943499749204,TP63,0.2958989882046763,,TP63
49,0.13388812652083845,-0.07430565359694197,FOXO1,0.2163848509427692,,FOXO1
50,0.9390875363595336,-0.0046192520219154876,KLF8,0.969380682693712,,KLF8
51,0.7665812443271398,-0.011373791290720026,E2F8,0.8339809708009952,,E2F8
52,0.003651746249136519,-0.08498553615162452,CUX2,0.012431476592805172,,CUX2
53,1.6419496513722714e-05,0.13975318860012742,EPAS1,0.00021892662018296953,,EPAS1
54,0.14009663051799667,-0.04284071749203644,TFEB,0.22528101389828611,,TFEB
55,0.006612901145183365,-0.1471761454903801,SOX18,0.019414021710630062,,SOX18
56,0.004607036943991909,-0.11059885028668515,POU2F2,0.014596552693835751,,POU2F2
57,0.5606050650028482,-0.027128676310809063,MAFF,0.6718862202281327,,MAFF
58,0.0011514094813390157,-0.110358873189637,AR,0.005030782489201137,,AR
59,0.0803311039702822,0.09952586579528566,NR2F6,0.14858932526294974,,NR2F6
60,0.00018946465916600363,-0.17295060889017586,ZBTB7C,0.0011023398351476575,,ZBTB7C
61,0.00015702342247844378,0.19770982145304736,NFYB,0.0009662979844827309,,NFYB
62,0.0016617566070791785,-0.15083237184204717,THAP1,0.006731166003358697,,THAP1
63,3.2851201052785944e-08,-0.20874969678827782,TEAD3,2.324292579713126e-06,,TEAD3
64,1.2069477424324203e-05,-0.16675431529167548,RBPJ,0.0001755560352628975,,RBPJ
65,0.5606050650028482,0.02804712087492034,FOXA3,0.6718862202281327,,FOXA3
66,0.02985570543388668,-0.0748066735931196,ZNF274,0.06775762935350169,,ZNF274
67,2.223971151650587e-05,0.11786345100828205,ARID5B,0.00025416813161720995,,ARID5B
68,0.4005808259881607,-0.03577194758464641,TGIF1,0.5253519029352928,,TGIF1
69,0.09918071626942034,0.048663361620705003,PAX5,0.17063349035599196,,PAX5
70,0.9461045002536401,0.015588631728604807,GLI1,0.9696556623616999,,GLI1
71,0.02688751804061244,-0.0995613462996178,BCL11A,0.06234786792026072,,BCL11A
72,2.704219292254242e-05,-0.2682286114981737,BACH2,0.00027042192922542416,,BACH2
73,0.00011246925888030754,0.11636997720152897,TFDP1,0.0007823948443847482,,TFDP1
74,0.0029925982883706667,0.13865477759127204,ESR2,0.010759903958186667,,ESR2
75,0.004085201256184053,-0.08967755024421309,ELK3,0.01361733752061351,,ELK3
76,0.00038031564551676883,-0.1120268348311107,RFX2,0.001901578227583844,,RFX2
77,0.10222882503048483,0.10331930578793799,FOXK1,0.17288372111254008,,FOXK1
78,0.5566522940768455,0.021473711658526295,RARG,0.6718862202281327,,RARG
79,0.8531006503403321,-0.04455843988107855,TBX2,0.9130174184244357,,TBX2
80,0.07394128163786358,0.0586436785077724,NR4A1,0.1416838929587805,,NR4A1
81,0.0023048259446157514,-0.20449804112932696,TEAD4,0.00888607593104868,,TEAD4
82,0.012585028439848383,-0.08073872342151195,E4F1,0.03171030787993294,,E4F1
83,0.15065466761676438,0.05181290550647699,ERG,0.23984822705156517,,ERG
84,0.042561959033753774,0.08909378490125297,STAT1,0.09140823416645105,,STAT1
85,0.5468302114069239,0.018590662618390263,PBX1,0.6677265332128905,,PBX1
86,0.0021099358938432076,0.07879823480804843,HIVEP2,0.00833554921024477,,HIVEP2
87,0.1548732114551303,-0.056751758619664416,FOXP2,0.24413511165340737,,FOXP2
88,0.03798570680016425,0.07369181958165216,BCL6B,0.08268997398675211,,BCL6B
89,0.26911456740128525,-0.07364937713698244,REL,0.37936855316480744,,REL
90,0.4879148717214361,0.03322275872902953,HOXA9,0.6122853292190571,,HOXA9
91,0.6465928619969814,0.013431941559354454,ENO1,0.749672883474761,,ENO1
92,0.40388318186878747,-0.027663770008494293,TCF3,0.5253764967398861,,TCF3
93,0.04926835314724699,-0.06205089291883625,CEBPA,0.10041957329375184,,CEBPA
94,0.8831672971389052,0.0033540877637290856,ARX,0.9327179375724411,,ARX
95,0.06036901516262091,0.05536049197069426,THRB,0.11924743735826353,,THRB
96,0.3091863862659505,0.04689988662561062,RARB,0.4264639810564835,,RARB
97,0.08554573088862995,-0.0755531313038863,NR4A2,0.15506165949752207,,NR4A2
98,0.005731493343235443,0.17512657902183057,SPDEF,0.017302621413540963,,SPDEF
99,0.9718650241466551,-0.000804146130358882,EBF1,0.9810624849429957,,EBF1
100,0.01003395430547514,-0.0954227253773201,E2F3,0.02698206199791634,,E2F3
101,0.02688751804061244,-0.03766423958326927,RFX3,0.06234786792026072,,RFX3
102,0.05683979116001379,0.06228788001241242,GLIS3,0.11511856437471146,,GLIS3
103,0.09103062739956394,-0.06649984256704178,GATA3,0.15917923916863638,,GATA3
104,0.3365080699940516,-0.014549713325546665,AHR,0.4562821288054936,,AHR
105,3.181064244631699e-10,-0.3640911043853896,NFE2L2,1.0179405582821437e-07,,NFE2L2
106,6.571039156556845e-05,0.06295198965258017,CREB3L1,0.0005068927743798311,,CREB3L1
107,0.284693749640311,0.04218969714164378,IRF5,0.3978253270082949,,IRF5
108,0.17264775768458263,-0.0658800231755362,ARID3A,0.2694989388247143,,ARID3A
109,0.0008776490698714657,0.21384317050753876,ID4,0.004012110033698129,,ID4
110,0.04661574245492093,-0.04389984684094286,ETV2,0.09813840516825459,,ETV2
111,0.04694060153924883,0.10177223644722877,CEBPG,0.09817642151999754,,CEBPG
112,0.8692667469856049,-0.00840256729135691,ATF3,0.9241374054332012,,ATF3
113,0.9788968543341519,0.014319654066999421,IRF8,0.9850534383236748,,IRF8
114,0.01248115851072324,0.14490260888995543,NR1I2,0.031698180344693946,,NR1I2
115,0.00774865126126266,-0.1399223806665237,TFAP4,0.021750600031614484,,TFAP4
116,0.34846293694817243,-0.054850075635379025,RUNX3,0.4704984802675746,,RUNX3
117,0.0706765232576329,-0.06278223022913576,TAL1,0.13624390025567787,,TAL1
118,0.002590339136712374,0.15852968583351024,ESR1,0.00986795861604714,,ESR1
119,0.104720598983391,0.07073968117470791,BATF,0.17288372111254008,,BATF
120,0.0027714714008867094,-0.10369334854533852,MEIS2,0.010193917796364908,,MEIS2
121,7.492409705887181e-06,-0.2574137946530835,NFYC,0.0001261879529412578,,NFYC
122,0.07537770949886237,-0.0728799072690593,CEBPD,0.14272702390317135,,CEBPD
123,0.48423507691984424,0.026058786391592703,STAT6,0.6100599394265754,,STAT6
124,0.9906199464337873,0.016699280610320666,NR3C1,0.9906199464337873,,NR3C1
125,0.5274471133017989,0.013334532144850253,NR1D1,0.6516721090987477,,NR1D1
126,0.01138772344330668,0.08843970828137607,HINFP,0.0298694385398208,,HINFP
127,0.5487877444843444,-0.013818299251221133,ZNF282,0.6677265332128905,,ZNF282
128,1.9760304561877285e-05,0.14224535014652806,TCF12,0.00024320374845387426,,TCF12
129,0.6915301954656807,-0.006144022962412454,HOXD8,0.7847151154220491,,HOXD8
130,0.25047743723889226,-0.03749363451858145,FOXO3,0.35782491034127467,,FOXO3
131,7.435098847734177e-05,0.1416491137120408,EGR2,0.0005407344616533946,,EGR2
132,0.014590084173772775,-0.1127900129539181,GLI2,0.036475210434431936,,GLI2
133,0.5390348204068027,0.016079365727755313,FOXH1,0.6634274712699111,,FOXH1
134,0.0009851348918704793,0.1430806597841367,BHLHE41,0.00437837729720213,,BHLHE41
135,0.15317515306399104,0.09280296825695478,ELF1,0.24265370782414422,,ELF1
136,0.08935624259557667,-0.1021602996014653,NR6A1,0.15710987709112384,,NR6A1
137,0.3350324829866095,0.02299246951755149,GLIS1,0.45621444491793633,,GLIS1
138,0.104720598983391,0.057884440609046545,HSF4,0.17288372111254008,,HSF4
139,0.7531531956900821,-0.018921753418984943,HOXB6,0.8253733651398161,,HOXB6
140,0.09857988650521371,0.07665810028500743,POU4F1,0.17051656044145075,,POU4F1
141,0.08608190930646928,-0.06835503474410709,MEOX1,0.15506165949752207,,MEOX1
142,0.20003555447076482,0.045883131003397803,ARNTL,0.2977273368867197,,ARNTL
143,2.1993854909990852e-07,0.24679406007738375,RUNX2,7.82003730133008e-06,,RUNX2
144,0.005528388150896339,-0.08259643478657896,PAX8,0.01684842103130313,,PAX8
145,0.17637889062416956,-0.06185792661541728,MAX,0.2739866262123022,,MAX
146,0.5448761417778645,-0.04041372901868763,NFIA,0.6677265332128905,,NFIA
147,0.00014283701657911367,0.06839843156891062,RORC,0.0009328131694962524,,RORC
148,1.2560413980297098e-06,-0.15878721237630078,DBP,2.8709517669250513e-05,,DBP
149,0.936749571924237,0.0016859367260141367,ZNF524,0.969380682693712,,ZNF524
150,0.0014573146570900104,-0.12904267833949878,GATA5,0.005978726798317992,,GATA5
151,0.21486342069568043,-0.08758272157099167,ZNF350,0.31252861192098974,,ZNF350
152,0.4257427749200784,0.030879347689743097,NR1H2,0.5471393091342374,,NR1H2
153,0.16092909460120353,0.0675215876024633,FLI1,0.2524377954528683,,FLI1
154,0.02985570543388668,-0.08415289618698239,HIC1,0.06775762935350169,,HIC1
155,0.08770675115328593,-0.08584869163452968,MLXIPL,0.15506165949752207,,MLXIPL
156,0.362230620222343,-0.03743761075411764,PPARD,0.4809701181375508,,PPARD
157,0.43260523996041633,0.06325880561911229,DNMT1,0.5537285209710326,,DNMT1
158,0.695870328721043,-0.013303486277341237,JDP2,0.7868498416633702,,JDP2
159,9.717998016657112e-06,0.206381107387131,MNT,0.00014808377930144168,,MNT
160,0.00338647086723694,0.1325970188738586,GATA2,0.01190846898369034,,GATA2
161,0.7177181896980218,-0.025895293541898484,TCF7L1,0.80024327771208,,TCF7L1
162,0.8507960717917938,-0.01293128629864089,HIC2,0.9130174184244357,,HIC2
163,0.7688262074571675,-0.0003370117357401059,ETV7,0.8339809708009952,,ETV7
164,0.4022299713901185,-0.03784888645062656,SRF,0.5253615952850528,,SRF
165,0.011677164772864321,-0.10703012640880868,MITF,0.03037961566924051,,MITF
166,0.002880098152348438,-0.11096168689129327,HOXA5,0.010473084190357956,,HOXA5
167,0.4257427749200784,0.024169693879294962,PBX3,0.5471393091342374,,PBX3
168,0.00084133677889907,-0.13933313353939253,IRX5,0.0039018517282275707,,IRX5
169,0.19797981788242103,0.03890415250753876,MECOM,0.2960445874877324,,MECOM
170,0.7023992091054708,-0.0013343938904226693,HOXC6,0.7914357285695446,,HOXC6
171,6.652967663735284e-05,0.3214747980160906,BCL6,0.0005068927743798311,,BCL6
172,0.6893639125446371,-0.019023204435761276,TCF7,0.7847151154220491,,TCF7
173,8.40585796669666e-05,0.23149342114319385,CDX2,0.0005977498998539847,,CDX2
174,1.7346866836309482e-07,0.14987574989105965,TBX19,7.82003730133008e-06,,TBX19
175,0.18793264800825393,0.1053041090051604,ATF6,0.2850163382115699,,ATF6
176,0.0338348299226356,-0.1128952705100873,POU6F1,0.07518851093919021,,POU6F1
177,0.1432828085050163,0.05897350713168825,KDM2B,0.22925249360802608,,KDM2B
178,0.5027837188384008,0.026463926306391994,USF1,0.628479648548001,,USF1
179,0.2041937036855368,0.05988213904748346,ETV5,0.30111513907544596,,ETV5
180,0.47874371668355686,-0.02140117299638966,ARNT2,0.60552564956023,,ARNT2
181,2.6349166156998464e-05,-0.10141749148528345,HOXB2,0.00027042192922542416,,HOXB2
182,0.032144558111251505,-0.058969524773837434,ETS2,0.07193187829091245,,ETS2
183,0.7243188052284683,0.014802472155149737,MEF2B,0.8020139019830791,,MEF2B
184,0.058386553203390285,-0.08172454900021237,IRF2,0.1175075284596534,,IRF2
185,0.02417765288511172,0.09933556444899766,MSX1,0.05688859502379229,,MSX1
186,0.004440379117550417,0.13240859256719048,SREBF2,0.014473640636905333,,SREBF2
187,0.32482031627685726,-0.016425363746315563,NFATC3,0.4461051554016924,,NFATC3
188,0.9484444447475378,-0.02902829577819077,ONECUT2,0.9696556623616999,,ONECUT2
189,0.29001978770935755,0.06201456174019965,HNF1A,0.4035057915956279,,HNF1A
190,0.7067640631325458,0.018205881722227646,SPI1,0.7935596498330338,,SPI1
191,0.9087422526829043,-0.02685746704395875,FOXJ3,0.9534344946181291,,FOXJ3
192,0.005380346772264191,-0.16608515511094502,MYC,0.01655491314542828,,MYC
193,0.001413552964923884,-0.1421734075621151,ZNF683,0.005934560968197515,,ZNF683
194,2.6349166156998464e-05,-0.22878462045761314,NFYA,0.00027042192922542416,,NFYA
195,0.0001180074175959865,0.17270601312076875,HOXA13,0.0008034547581003336,,HOXA13
196,0.008825426192186379,0.15462165890210233,PLAG1,0.02455770766521427,,PLAG1
197,0.0045230126990329165,-0.09230274637366737,TBX3,0.014473640636905333,,TBX3
198,0.37002455362583864,0.028890292318704686,STAT3,0.4892886659515222,,STAT3
199,0.0002031794598999963,0.19090889687455087,HES1,0.0011351200680322557,,HES1
200,0.006103176596559789,0.1577914764168613,KLF6,0.01825249075606666,,KLF6
201,0.0014280037329725272,0.18490844792100247,JUND,0.005934560968197515,,JUND
202,0.10284730123183325,0.16500774196003393,FOXC1,0.17288372111254008,,FOXC1
203,4.802185269904389e-06,-0.1616284785686981,ELF3,8.537218257607803e-05,,ELF3
204,0.001163368450627763,0.0955602720613379,RFX5,0.005030782489201137,,RFX5
205,0.07782231726055425,-0.12146176456154173,TBX15,0.14563240656945822,,TBX15
206,0.022217745523158347,0.15112096967927585,TFAP2A,0.05305730274187068,,TFAP2A
207,0.6444832002760409,-0.03433616715470378,SMAD4,0.749672883474761,,SMAD4
208,0.8623313171958946,-0.006237671818328732,ELK1,0.919820071675621,,ELK1
