,P,EFFECTSIZE,TF,FDR,SNP,GENE
0,0.09751653266346741,-0.07756170017171715,CDC5L,0.16867724568815984,,CDC5L
1,0.1674577916065526,0.05128480348484854,PPARG,0.2601286083208584,,PPARG
2,0.0032004860575987402,-0.19950738126666662,HOXB8,0.0160024302879937,,HOXB8
3,0.006480550036013137,-0.10421529782828276,NFATC1,0.02498525315089402,,NFATC1
4,0.2316882377036874,-0.047579767020201946,OVOL1,0.3223488524573042,,OVOL1
5,0.015511356156436073,-0.20364896252525244,ZNF219,0.04206469466152155,,ZNF219
6,0.7372474707692538,-0.0021073984999999684,TBX1,0.794340709246334,,TBX1
7,0.8920292792808568,-0.0021655264646465167,NFATC2,0.9208044173221748,,NFATC2
8,0.0011963119422029786,0.16489657228333332,BHLHA15,0.009743837728576383,,BHLHA15
9,0.45920883621954334,0.059658926271212276,SOX4,0.5520267275509746,,SOX4
10,0.5137087392273548,-0.0215310219136364,MAFK,0.6065933452131127,,MAFK
11,0.007443513593536652,-0.048886810681818216,HOXA7,0.027067322158315095,,HOXA7
12,0.00030188777329908495,-0.27151954642272735,TEF,0.004794046032092583,,TEF
13,0.002531875659198914,-0.12407506694927777,MXI1,0.013281970671207418,,MXI1
14,0.1094498214914883,0.0412090139474747,TEAD1,0.18531186707553576,,TEAD1
15,0.06189843455796625,-0.041411846717171796,EMX1,0.11932228348523614,,EMX1
16,0.0050414156389836035,-0.35570864171717176,TP73,0.020951337720451338,,TP73
17,0.010985931900171787,-0.11642180111111111,THRA,0.034806912951039326,,THRA
18,0.00019426339705298873,-0.22998265558333347,YY1,0.0038852679410597744,,YY1
19,0.011647181386680232,-0.15950801015151506,FOXP1,0.03549617184512071,,FOXP1
20,0.00990864959146184,-0.10334172757575766,IRF3,0.03268832854915246,,IRF3
21,9.200645210112875e-05,-0.2526180952020204,CTCFL,0.0032713405191512443,,CTCFL
22,0.17223665192432613,0.08369336701515162,TCF7L2,0.2649174362481177,,TCF7L2
23,0.0011963119422029786,-0.10543465045252523,BATF3,0.009743837728576383,,BATF3
24,2.0528356447427456e-05,-0.4435793342732325,TCF4,0.002189691354392262,,TCF4
25,0.0633427041018824,-0.10135671106313127,SOX9,0.12065276971787124,,SOX9
26,0.04773614507714749,-0.06640851553383831,HIVEP1,0.09984030342932808,,HIVEP1
27,0.28553510497163936,-0.047898080989520204,BPTF,0.37756708095423386,,BPTF
28,0.02074192480293304,0.08356900124191913,SIX5,0.05175494504396661,,SIX5
29,0.0015346622332273103,0.25059328320858587,SPIB,0.010448764141122112,,SPIB
