,P,EFFECTSIZE,TF,FDR,SNP,GENE
0,0.0012741469997700665,-0.22421675636842098,CDC5L,0.003088841211563798,,CDC5L
1,0.0003136061902462025,0.15857837071929837,PPARG,0.0010240202130488243,,PPARG
2,0.00016143942727902877,-0.38376606985175443,HOXB8,0.0006457577091161151,,HOXB8
3,2.451144395568817e-07,-0.3467370991382456,NFATC1,7.130601878018377e-06,,NFATC1
4,1.0205037747518237e-07,-0.18933095932982458,OVOL1,3.5400976499204026e-06,,OVOL1
5,0.0007160000029506334,0.14313531143859637,ZNF219,0.0019093333412016891,,ZNF219
6,0.0016424094536021578,0.14878002056491224,TBX1,0.00378108651188986,,TBX1
7,0.002439768496811532,-0.08611576759649128,NFATC2,0.00517037032436881,,NFATC2
8,0.2917360486688958,0.06036949969210527,BHLHA15,0.3444853711219434,,BHLHA15
9,9.248976848072909e-06,-0.29435935565087723,SOX4,6.882959514844955e-05,,SOX4
10,0.04295481525892386,0.06636122394736843,MAFK,0.06453305578805463,,MAFK
11,0.0809925106859138,-0.022287350666666705,HOXA7,0.11417446440305029,,HOXA7
12,1.3187153677544658e-09,-0.46845993261403496,TEF,4.2198891768142903e-07,,TEF
13,0.6996987619977384,-0.016453124061578957,MXI1,0.7365250126291983,,MXI1
14,0.01427428937478715,-0.08499002123684202,TEAD1,0.024426591443486034,,TEAD1
15,0.04295481525892386,-0.03709654555263164,EMX1,0.06453305578805463,,EMX1
16,0.0017269148682910324,-0.6055008514283333,TP73,0.003919239417398088,,TP73
17,0.0031040500608838346,0.18982045677543855,THRA,0.006326726238744122,,THRA
18,0.0015617242961780188,-0.1698880239333334,YY1,0.0036478231735544964,,YY1
19,0.31947205902252385,0.03244662177192981,FOXP1,0.37584948120296924,,FOXP1
20,0.429631591575365,-0.03184449435087722,IRF3,0.485802506374971,,IRF3
21,0.007569298566188956,-0.2085571985510527,CTCFL,0.013920549087244058,,CTCFL
22,0.0036630250461240233,-0.12040238955508772,TCF7L2,0.007326050092248047,,TCF7L2
23,0.02777275226511227,-0.10811622568017544,BATF3,0.04399643923186102,,BATF3
24,8.347701367186742e-06,-0.5369339603105263,TCF4,6.678161093749394e-05,,TCF4
25,4.4772850934180945e-05,-0.2975017651114035,SOX9,0.0002310856822409339,,SOX9
26,0.7548465064523775,-0.00592655457026316,HIVEP1,0.789381967531898,,HIVEP1
27,2.6819646829872943e-05,-0.20951676745789474,BPTF,0.0001560415815556244,,BPTF
28,0.013150238181721475,0.07233931703070176,SIX5,0.022994952011753396,,SIX5
29,0.0004387163055829861,0.2695936540614035,SPIB,0.0013244265828920335,,SPIB
30,0.004213383218601682,0.19436079471052642,CUX1,0.008322732283657644,,CUX1
31,2.9183770395761714e-06,-0.3561517833491228,HMGA2,3.722711750653248e-05,,HMGA2
32,0.2502121535426751,-0.023623901929824553,RORA,0.3079534197448309,,RORA
33,0.5203028999678316,-0.02050715818245613,TWIST1,0.5682489009887581,,TWIST1
34,0.00013923983501282818,0.5647956667280701,RFX1,0.0005786590545987665,,RFX1
35,0.03931401311251901,0.09600519853535089,FOSL1,0.06019370428711045,,FOSL1
36,0.0017269148682910324,0.16369033477192985,ZFHX3,0.003919239417398088,,ZFHX3
37,0.001036168474748931,-0.11325090285789476,HLF,0.0026108182040917947,,HLF
38,0.008439410871765895,-0.2472831221707018,NR3C2,0.015171974600927451,,NR3C2
39,4.337831098198097e-05,-0.350048888381579,SP4,0.0002275583526923592,,SP4
40,0.00210646347657591,-0.07220781068421045,ZNF423,0.004616906250029392,,ZNF423
41,0.44699550464211624,-0.03298986178947355,GRHL1,0.501889689422727,,GRHL1
42,0.35649126097757133,-0.07390545393771931,SMARCC2,0.41634015880592273,,SMARCC2
43,0.00010960030022152377,0.1402892197136842,ETV6,0.0004871124454289945,,ETV6
44,0.25325162701805604,-0.05679437031505263,GCM1,0.30931496429686234,,GCM1
45,3.614522480011806e-06,0.3731558017280701,SMAD3,3.855490645345927e-05,,SMAD3
46,0.8976933852091463,0.00264270655298246,EMX2,0.9177695951020026,,EMX2
47,0.2050161709572439,-0.04577985795614026,RUNX1,0.26137519803313963,,RUNX1
48,0.00016626164418032083,-0.37831277075614034,TP63,0.0006568361251568231,,TP63
49,0.19470761597658792,0.04970818150877199,FOXO1,0.24922574845003254,,FOXO1
50,0.0014475196564074802,0.1339075971578948,KLF8,0.003405928603311718,,KLF8
51,0.5790914202401183,-0.04100991923684194,E2F8,0.6176975149227928,,E2F8
52,0.48748854295506283,-0.015019650442105265,CUX2,0.5397797015419381,,CUX2
53,0.0002496964979064006,0.17308001859649125,EPAS1,0.0008685095579353065,,EPAS1
54,0.7660382938469477,-0.009021473867543872,TFEB,0.7958839416591664,,TFEB
55,8.638367635128468e-06,-0.4115238863991228,SOX18,6.742140593271e-05,,SOX18
56,3.614522480011806e-06,-0.3142621069993684,POU2F2,3.855490645345927e-05,,POU2F2
57,0.0060663546239323515,0.20778080309438599,MAFF,0.011624152572804506,,MAFF
58,0.15943164212341843,-0.0623934056315788,AR,0.21081870032848718,,AR
59,0.0006606246507128182,0.5244356606070175,NR2F6,0.0017915244765093375,,NR2F6
60,0.13680241224827042,-0.04564241827368419,ZBTB7C,0.18393601646826274,,ZBTB7C
61,1.6955433181046057e-06,0.4056496487500001,NFYB,2.583685056159399e-05,,NFYB
62,1.0242780643682588e-05,-0.2435021696317544,THAP1,7.449295013587336e-05,,THAP1
63,5.310456918476756e-08,-0.26421212975087716,TEAD3,2.7467448966502665e-06,,TEAD3
64,6.126399254940684e-05,-0.31117839469999997,RBPJ,0.00030160734793554134,,RBPJ
65,0.9385078546322175,0.002728731680701757,FOXA3,0.9473896324363079,,FOXA3
66,0.0003318225905546541,-0.09799073687719295,ZNF274,0.0010707379125726097,,ZNF274
67,0.0031040500608838346,0.11477614790877187,ARID5B,0.006326726238744122,,ARID5B
68,0.5690801522104891,-0.031041834176315675,TGIF1,0.6131503323480018,,TGIF1
