,P,EFFECTSIZE,TF,FDR,SNP,GENE
0,0.009392981803213293,-0.12829958731856128,CDC5L,0.028356171481398622,,CDC5L
1,0.0007723942733445856,0.1131056080089915,PPARG,0.004189257075767244,,PPARG
2,5.015585680361256e-06,-0.19692972331727665,HOXB8,8.916596765086677e-05,,HOXB8
3,4.5511767950199536e-07,-0.19712896865231214,NFATC1,2.080537963437693e-05,,NFATC1
4,0.00397660622053213,-0.09479732681117531,OVOL1,0.014139044339669794,,OVOL1
5,0.2539754335063441,-0.061887267267180524,ZNF219,0.37280797578912894,,ZNF219
6,0.7416250228923293,-0.0037951243709056226,TBX1,0.8268989802283812,,TBX1
7,0.6935557257549322,-0.009370803423249918,NFATC2,0.7842326227617608,,NFATC2
8,0.011606514691556165,0.1161277925051381,BHLHA15,0.03407417157154103,,BHLHA15
9,0.9203883423284015,-0.019803915336608857,SOX4,0.9470233747430498,,SOX4
10,0.5433805884112451,0.025473294344894093,MAFK,0.6488126428790987,,MAFK
11,0.14112961795742116,-0.025860715942517598,HOXA7,0.24150522859023943,,HOXA7
12,9.517639828744059e-10,-0.4198933555136801,TEF,1.5228223725990494e-07,,TEF
13,0.10356038460993987,-0.0614333205602762,MXI1,0.19379721096596933,,MXI1
14,0.3671638711529299,-0.02174563524855494,TEAD1,0.4936657091131831,,TEAD1
15,0.3946294305563941,-0.013960900439948576,EMX1,0.5239892853860835,,EMX1
16,0.0011637306749773587,-0.2589014329800896,TP73,0.0059110129522659495,,TP73
17,0.36351309047301916,0.03619681036268465,THRA,0.4908193626639921,,THRA
18,0.0021028703813150765,-0.18147775899829802,YY1,0.008854191079221375,,YY1
19,0.016819592263584798,-0.0852305171901091,FOXP1,0.0460023036268986,,FOXP1
20,0.035028741071844546,-0.08699109656986512,IRF3,0.08427967776684402,,IRF3
21,0.02813965613064639,-0.10932638255298666,CTCFL,0.07034914032661596,,CTCFL
22,0.2520676618512898,-0.04935553776978166,TCF7L2,0.37280797578912894,,TCF7L2
23,0.02732651405356068,-0.06730776420199097,BATF3,0.06885420863889305,,BATF3
24,1.6736644420327591e-06,-0.35967900037058453,TCF4,5.1771113617509054e-05,,TCF4
25,1.1620988930398762e-07,-0.21769161770391776,SOX9,7.437432915455208e-06,,SOX9
26,0.788955187066066,0.0015884178745986244,HIVEP1,0.861576807037438,,HIVEP1
27,0.020876382221012506,-0.09023919214932569,BPTF,0.05554739478610814,,BPTF
28,0.0923800413389649,0.059928090945989075,SIX5,0.1802537391979803,,SIX5
29,0.024564833612679197,0.16360288087793828,SPIB,0.06288597404845875,,SPIB
30,0.4784472319894233,0.02001735896596024,CUX1,0.5934229233977343,,CUX1
31,0.08058417591033776,-0.10470527092732818,HMGA2,0.16298526845384773,,HMGA2
32,0.6108131461231909,0.008822863863198416,RORA,0.7133584188300041,,RORA
33,0.2676112255845532,-0.04658826943574182,TWIST1,0.38401610846213907,,TWIST1
34,0.00043360523765845357,0.1688808615253694,RFX1,0.0025695125194575025,,RFX1
35,0.2568558946126458,-0.052878878362029536,FOSL1,0.3753145492056925,,FOSL1
36,0.00038391081487262446,0.13963111497430947,ZFHX3,0.0024570292151847965,,ZFHX3
37,0.7590516350076024,-0.008576576392678226,HLF,0.8404723986243349,,HLF
38,0.14050986055090658,-0.0459677218548491,NR3C2,0.24150522859023943,,NR3C2
39,7.009729419112224e-05,-0.19855630502247912,SP4,0.0007235849722954554,,SP4
40,0.9899176659718131,0.0005813405330764021,ZNF423,0.9930208561472733,,ZNF423
41,0.11847588448710288,-0.0695147555496172,GRHL1,0.2141936894682086,,GRHL1
42,0.03986145362875639,0.059688971651156074,SMARCC2,0.09243235624059452,,SMARCC2
43,0.00012871183811073546,0.09288635263915866,ETV6,0.0010940513821660806,,ETV6
44,0.6666170698457226,0.014216023888888873,GCM1,0.756444901952593,,GCM1
45,0.002377241660669185,0.14385121722026328,SMAD3,0.009629333309039737,,SMAD3
46,0.1356269048866219,0.028925721698076418,EMX2,0.2371618008946394,,EMX2
47,0.3409219120846887,0.03803722616865768,RUNX1,0.4698204635216662,,RUNX1
48,0.0020232818195674435,-0.14431528543320493,TP63,0.008854191079221375,,TP63
49,0.22029020694459278,-0.0625455330828516,FOXO1,0.34219837971975575,,FOXO1
50,0.9149180678339021,0.022456236120744877,KLF8,0.9470233747430498,,KLF8
51,0.4233023076181406,0.02367922640012854,E2F8,0.5440029656136747,,E2F8
52,0.10503053324500546,-0.03667566660859664,CUX2,0.19427613085781356,,CUX2
53,0.0002173488885019888,0.08724713486833635,EPAS1,0.0016174801004799166,,EPAS1
54,0.16003087345235034,-0.021222242947280343,TFEB,0.26785870062416006,,TFEB
55,0.001073197970304679,-0.19169827284020563,SOX18,0.00553908629834673,,SOX18
56,0.007461180314568191,-0.11661628113991651,POU2F2,0.023875777006618214,,POU2F2
57,0.4233023076181406,-0.02115613415966605,MAFF,0.5440029656136747,,MAFF
58,0.22552334864217694,-0.04648128606615287,AR,0.34365462650236483,,AR
59,0.04075721274965555,0.10066734777456632,NR2F6,0.09382955453158111,,NR2F6
60,0.013471961708710926,-0.08545303951034044,ZBTB7C,0.03815068802466811,,ZBTB7C
61,4.652049239289343e-05,0.17861940824791261,NFYB,0.0005287405067524814,,NFYB
62,0.01214839562075206,-0.14595755178297048,THAP1,0.035250767837625666,,THAP1
63,1.9755709119346405e-08,-0.1924478318648041,TEAD3,2.10727563939695e-06,,TEAD3
64,4.561095449642642e-05,-0.13233541457289655,RBPJ,0.0005287405067524814,,RBPJ
65,0.34442789475573343,0.036261926996628224,FOXA3,0.47101250564886626,,FOXA3
66,5.551709604342147e-05,-0.1074882096403339,ZNF274,0.0005921823577964957,,ZNF274
67,0.2034767718717717,0.04105068049903665,ARID5B,0.3207515615712657,,ARID5B
68,0.4784472319894233,0.013898293291586539,TGIF1,0.5934229233977343,,TGIF1
69,0.14112961795742116,0.03907055136557483,PAX5,0.24150522859023943,,PAX5
