,P,EFFECTSIZE,TF,FDR,SNP,GENE
0,0.03875870447474959,-0.19285299827857139,CDC5L,0.09255810023820797,,CDC5L
1,0.5843954508824203,-0.07924771107142858,PPARG,0.687524059861671,,PPARG
2,0.001816560827890798,-0.22743609557142863,HOXB8,0.010022404567673369,,HOXB8
3,0.005057858033451251,-0.14756247866666672,NFATC1,0.01998166136672099,,NFATC1
4,0.04085717361248859,-0.08965294637557145,OVOL1,0.09613452614703198,,OVOL1
5,0.2278473759925013,-0.09165044328571437,ZNF219,0.3423059169840395,,ZNF219
6,0.023029815035867724,0.09859290404761911,TBX1,0.061412840095647264,,TBX1
7,0.8236247044162728,-0.008700662924619046,NFATC2,0.8874070889333578,,NFATC2
8,0.001816560827890798,0.22364639256547614,BHLHA15,0.010022404567673369,,BHLHA15
9,0.38212257373488584,0.08554261431904764,SOX4,0.5032066814615781,,SOX4
10,0.8742582657387143,-0.0006588943871428526,MAFK,0.9294440034431514,,MAFK
11,0.003141093519405844,-0.10677309681476191,HOXA7,0.014567390234925653,,HOXA7
12,3.868186494829881e-07,-0.39655618532666675,TEF,5.265291835642213e-05,,TEF
13,0.0023017030722083387,-0.12734143009523813,MXI1,0.011508515361041693,,MXI1
14,0.013802160056089736,0.09341617309523809,TEAD1,0.04246818478796842,,TEAD1
15,0.31438595797896096,-0.03280203654761907,EMX1,0.4317747062371996,,EMX1
16,0.00786285541884293,-0.4187918275238094,TP73,0.02734906232641019,,TP73
17,0.27759680100152007,-0.086908224727619,THRA,0.4019501190972236,,THRA
18,0.000374460481012214,-0.24591153641761906,YY1,0.0032385771330786075,,YY1
19,0.06407596251544151,-0.11733658869999997,FOXP1,0.1273559503412502,,FOXP1
20,0.09368521505891651,-0.1563791801881429,IRF3,0.17329057120724442,,IRF3
21,0.02636173573322428,-0.3048856883809525,CTCFL,0.06803028576315943,,CTCFL
22,0.31438595797896096,-0.024915579095238116,TCF7L2,0.4317747062371996,,TCF7L2
23,0.014100788539710984,-0.09304307587619043,BATF3,0.042568418233089766,,BATF3
24,1.7813944716853178e-06,-0.43280131361904794,TCF4,8.958293416076808e-05,,TCF4
25,4.716340674691699e-06,-0.20243408023809517,SOX9,0.00016769211287792708,,SOX9
26,0.5534911134565355,-0.020752523280952395,HIVEP1,0.6584280903572169,,HIVEP1
27,0.01703579894889515,-0.10370541,BPTF,0.04955868785133135,,BPTF
28,0.05541515159374041,0.1264591915714285,SIX5,0.11514836694803202,,SIX5
29,0.0007566134612995195,0.3820952872761905,SPIB,0.005263397991648831,,SPIB
30,0.510708870378003,0.04592869149523815,CUX1,0.6190410550036402,,CUX1
31,0.0006568671415108179,-0.17320577537619053,HMGA2,0.00477721557462413,,HMGA2
32,0.19591230929943954,0.04652383828571405,RORA,0.3058143364674178,,RORA
33,0.9407948335563908,-0.04025444747619045,TWIST1,0.9692511934298191,,TWIST1
34,0.00883839102082958,0.2513381096000001,RFX1,0.029771422385952272,,RFX1
35,0.023944732234980004,-0.08939802533333335,FOSL1,0.06332491169581489,,FOSL1
36,0.019649954040054565,0.13161958466666668,ZFHX3,0.05515776572646895,,ZFHX3
37,0.95107773355301,-0.06079073285714287,HLF,0.9692511934298191,,HLF
38,0.15113560490171504,-0.11604282252380949,NR3C2,0.24801740291563495,,NR3C2
39,0.00038941159361773596,-0.2112575887619046,SP4,0.003279255525201987,,SP4
40,0.9665161849932155,0.03192760664285718,ZNF423,0.9787505670817371,,ZNF423
41,0.18227612929962922,-0.1590961769523811,GRHL1,0.2887542642370364,,GRHL1
42,0.4002905638318352,0.0039962616014285746,SMARCC2,0.5165039533314002,,SMARCC2
43,0.008635646251664509,0.09268326128571419,ETV6,0.029397944686517477,,ETV6
44,0.21024123834151306,-0.06740832019285715,GCM1,0.3203676012823056,,GCM1
45,0.004333268521074781,0.19867178060442853,SMAD3,0.01848861235658573,,SMAD3
46,4.8723501289868354e-05,0.12914325442857144,EMX2,0.0007424533529884702,,EMX2
47,0.0212852363135277,0.18130861342857119,RUNX1,0.05821603094298174,,RUNX1
48,0.0015591062818279074,-0.2698358490089047,TP63,0.00923914833675797,,TP63
49,0.19825205720850966,-0.1057233433809524,FOXO1,0.30647661017740624,,FOXO1
50,0.9151323905729294,-0.035891308488571416,KLF8,0.9538839250271577,,KLF8
51,0.05914353591900225,0.13986746007904763,E2F8,0.12054733435720205,,E2F8
52,0.7490291291471539,0.04146319276190491,CUX2,0.8265149011278939,,CUX2
53,0.001027872366001052,0.10241375170952385,EPAS1,0.006712635859598706,,EPAS1
54,0.7100962502684682,0.018443950363952383,TFEB,0.8001084510067248,,TFEB
55,0.006028056721220616,-0.14044343967142867,SOX18,0.022964025604649965,,SOX18
56,0.12235546330817057,-0.06840096033333337,POU2F2,0.21279211010116622,,POU2F2
