,P,EFFECTSIZE,TF,FDR,SNP,GENE
0,0.47498195951582534,-0.045451399018750005,CDC5L,0.6495479788250603,,CDC5L
1,0.8718450210394396,0.0018422641015624075,PPARG,0.917731601094147,,PPARG
2,0.07598560016661526,-0.06647881767968755,HOXB8,0.20262826711097404,,HOXB8
3,3.7063107944190405e-05,-0.15603532053906255,NFATC1,0.002372038908428186,,NFATC1
4,0.029502215779654208,-0.07323275773437499,OVOL1,0.11655196357394255,,OVOL1
5,0.9016278110565128,-0.00854984660156255,ZNF219,0.9367561673314418,,ZNF219
6,0.20052828733239947,0.04113825714453129,TBX1,0.3961052589281965,,TBX1
7,0.3577258468145732,-0.03859851039062501,NFATC2,0.5611385832385463,,NFATC2
8,0.0004567051148281684,0.1482847146093751,BHLHA15,0.009743042449667593,,BHLHA15
9,0.43701319576824005,0.041351528893945305,SOX4,0.6141328096646868,,SOX4
10,0.34688059114276526,-0.0352838151015622,MAFK,0.5468068431807137,,MAFK
11,0.1465465720922024,-0.022776876242187494,HOXA7,0.3168574531723295,,HOXA7
12,2.2626734818261466e-06,-0.35094273387499997,TEF,0.00034191562311088384,,TEF
13,0.8031244258572074,-0.008477932945312627,MXI1,0.880136357103789,,MXI1
14,0.5588797090847741,0.020747814009374976,TEAD1,0.7153660276285109,,TEAD1
15,0.05062564259348796,-0.06246312273437499,EMX1,0.15882554539133478,,EMX1
16,0.9415473655540845,-0.0044857575781249714,TP73,0.959538716488239,,TP73
17,0.6136317803844366,0.00882190968749974,THRA,0.7523454778659758,,THRA
18,0.012890847403310684,-0.11678127055507814,YY1,0.0719638848446446,,YY1
19,0.78374218589631,-0.028133936132812787,FOXP1,0.8713783917535011,,FOXP1
20,0.13524400926655622,-0.05723951589062504,IRF3,0.29846953769171025,,IRF3
21,0.2483576795143867,-0.044808456500000204,CTCFL,0.4515594172988849,,CTCFL
22,0.0038645486215824823,-0.20943247021738282,TCF7L2,0.03342141465108926,,TCF7L2
23,0.04772831107544861,-0.05216770540624993,BATF3,0.1527169587961892,,BATF3
24,0.048201290120047216,-0.09868156979687503,TCF4,0.1527169587961892,,TCF4
25,0.02277009688227885,-0.12117383008328123,SOX9,0.09822442462334496,,SOX9
26,0.6463734552559339,0.017578907457695317,HIVEP1,0.7775921266236798,,HIVEP1
27,0.05578142949335245,-0.10213523542968783,BPTF,0.16682296670909144,,BPTF
28,0.010153105911749803,0.07967987047179688,SIX5,0.0676873727449987,,SIX5
