,P,EFFECTSIZE,TF,FDR,SNP,GENE
0,0.07397533700968316,-0.11114240201282968,CDC5L,0.577368483978015,,CDC5L
1,0.3941980263384167,0.0367062046703297,PPARG,0.8479161589679379,,PPARG
2,0.07217755323863832,-0.10663131810302198,HOXB8,0.577368483978015,,HOXB8
3,0.06983368475254692,-0.06505442330843403,NFATC1,0.577368483978015,,NFATC1
4,0.8467644809487299,-0.001520228571428639,OVOL1,0.9367277030344199,,OVOL1
5,0.6118571716984936,0.04163522730769231,ZNF219,0.9173959690836314,,ZNF219
6,0.45132753794324926,0.028982585796703153,TBX1,0.8665039726942864,,TBX1
7,0.3542467002088247,0.030986933857142906,NFATC2,0.8335216475501758,,NFATC2
8,0.43249327484295874,0.06426793729706043,BHLHA15,0.8543077033934988,,BHLHA15
9,0.5875148284691569,0.05794640548351643,SOX4,0.9106563133508128,,SOX4
10,0.007794580452920202,0.08291416205769231,MAFK,0.31178321811680804,,MAFK
11,0.695023135436911,0.006650025862637382,HOXA7,0.9225277499387657,,HOXA7
12,0.003090810564215247,-0.20695552278571433,TEF,0.22759078264542007,,TEF
13,0.7791855645136645,-0.012950044793956061,MXI1,0.9300957567812707,,MXI1
14,0.8385877087626252,0.0034981524175824452,TEAD1,0.9367277030344199,,TEAD1
15,0.2200951076717568,0.03908364564505497,EMX1,0.8087298626365956,,EMX1
16,0.43249327484295874,-0.11437396066208783,TP73,0.8543077033934988,,TP73
17,0.9264974257746669,0.007013026429120939,THRA,0.9960222373819874,,THRA
18,0.4947268365073624,-0.044371396753022,YY1,0.8665039726942864,,YY1
19,0.39223852118724273,0.05373729981620878,FOXP1,0.8479161589679379,,FOXP1
20,0.6441229136031799,-0.04488509980164834,IRF3,0.9225277499387657,,IRF3
21,0.7236077038582194,-0.017770107766483578,CTCFL,0.9225277499387657,,CTCFL
22,0.2648113622312594,-0.08657079047225275,TCF7L2,0.8087298626365956,,TCF7L2
23,0.5149295644030247,0.02188679142857136,BATF3,0.8756814381730511,,BATF3
24,0.9902791700164715,-0.0033250285312088623,TCF4,0.9986112778038146,,TCF4
25,0.0013518582145874043,-0.1759202910164835,SOX9,0.1441982095559898,,SOX9
26,0.5263278061400738,0.001871139390109855,HIVEP1,0.8772130102334563,,HIVEP1
27,0.5448178935759782,0.03145265419354396,BPTF,0.8842839147880139,,BPTF
28,0.22418055856784294,0.04615506143873632,SIX5,0.8087298626365956,,SIX5
29,0.7658427742868277,0.030698329541208547,SPIB,0.924251268722842,,SPIB
30,0.806055188810715,0.005070505223406595,CUX1,0.9367277030344199,,CUX1
31,0.9986112778038146,0.004446874662088041,HMGA2,0.9986112778038146,,HMGA2
32,0.06209517653383167,0.04606064175101099,RORA,0.5677273283093182,,RORA
33,0.1266159761621488,-0.08886362568681327,TWIST1,0.6233401903367326,,TWIST1
34,0.5448178935759782,-0.06004008260576915,RFX1,0.8842839147880139,,RFX1
35,0.4429024814848227,-0.05185475068406603,FOSL1,0.8589623883342016,,FOSL1
36,0.7605239805802174,0.024275610961538463,ZFHX3,0.924251268722842,,ZFHX3
37,0.6192422791314512,-0.025533626868131876,HLF,0.9173959690836314,,HLF
38,0.7578686239345345,0.017561242004258237,NR3C2,0.924251268722842,,NR3C2
39,0.2663466564239357,0.08659285744505496,SP4,0.8087298626365956,,SP4
40,0.9431085560210694,0.005292932019230756,ZNF423,0.9960222373819874,,ZNF423
41,0.46843493836759775,-0.05198368519669232,GRHL1,0.8665039726942864,,GRHL1
42,0.39028467836505637,0.058817285068681335,SMARCC2,0.8479161589679379,,SMARCC2
43,0.2200951076717568,0.04988946828571422,ETV6,0.8087298626365956,,ETV6
44,0.2527389186908454,-0.07279813467582413,GCM1,0.8087298626365956,,GCM1
45,0.48808394737413846,0.035426168377692246,SMAD3,0.8665039726942864,,SMAD3
46,0.9514234415061109,0.007082382939560539,EMX2,0.9974927052451551,,EMX2
47,0.10692488343087872,0.07873218473159341,RUNX1,0.6047985788907316,,RUNX1
48,0.12570751510202044,-0.1087661797256868,TP63,0.6233401903367326,,TP63
49,0.7499190540775867,0.020864476891978068,FOXO1,0.924251268722842,,FOXO1
50,0.29498239237888946,-0.05994885727912086,KLF8,0.8087298626365956,,KLF8
51,0.9958338495291494,0.008072520940384575,E2F8,0.9986112778038146,,E2F8
52,0.22970790088624857,-0.026103701875054952,CUX2,0.8087298626365956,,CUX2
53,0.17733193107953443,0.06130672075109894,EPAS1,0.746660762440145,,EPAS1
54,0.09761726642643488,-0.06579490010714295,TFEB,0.5893872689897955,,TFEB
55,0.1530248733992418,-0.08988337697307693,SOX18,0.689689570250104,,SOX18
56,0.0882442667659945,-0.07330356502747254,POU2F2,0.5882951117732967,,POU2F2
57,0.2572223979886411,-0.05466298946208789,MAFF,0.8087298626365956,,MAFF
58,0.7288461213061913,-0.008297134313186683,AR,0.924251268722842,,AR
59,0.8385877087626252,-0.007492252901099006,NR2F6,0.9367277030344199,,NR2F6
60,0.38252607962425766,-0.04515427912472528,ZBTB7C,0.8479161589679379,,ZBTB7C
61,0.004922463119072475,0.17386961941005497,NFYB,0.25985177440099927,,NFYB
62,0.713168172995473,0.032147915245055,THAP1,0.9225277499387657,,THAP1
63,0.8304275766035563,-0.0037373562362635893,TEAD3,0.9367277030344199,,TEAD3
64,0.04735921138418666,-0.08487213003846153,RBPJ,0.5066958202456102,,RBPJ
65,0.811456572726857,0.03523032221263736,FOXA3,0.9367277030344199,,FOXA3
66,0.6719385157799727,-0.006833039010988973,ZNF274,0.9225277499387657,,ZNF274
67,0.29170691017530664,0.03356349050200552,ARID5B,0.8087298626365956,,ARID5B
68,0.8141605048806864,0.01764210856502743,TGIF1,0.9367277030344199,,TGIF1
69,0.3981339924620468,-0.027921733466126364,PAX5,0.8479161589679379,,PAX5
70,0.11948337854037143,-0.12284856432967017,GLI1,0.6233401903367326,,GLI1
71,0.0035561059788346886,-0.18840422309065924,BCL11A,0.22759078264542007,,BCL11A
72,0.031075757751233786,-0.09479343777692309,BACH2,0.3824708646305697,,BACH2
73,0.01387518409482546,0.07726526295239011,TFDP1,0.3486564679578623,,TFDP1
74,0.4283678688349165,0.05428155993532967,ESR2,0.8543077033934988,,ESR2
75,0.3134166863644554,-0.04008559420329649,ELK3,0.8153930051758189,,ELK3
76,0.6466326928176196,-0.025127435446428568,RFX2,0.9225277499387657,,RFX2
77,0.7157733253968664,-0.07050772859999999,FOXK1,0.9225277499387657,,FOXK1
78,0.47059723987078367,-0.0540695957417584,RARG,0.8665039726942864,,RARG
79,0.6847283719233485,0.038546798076923405,TBX2,0.9225277499387657,,TBX2
80,0.3844571988392703,-0.03858660939142855,NR4A1,0.8479161589679379,,NR4A1
81,0.4727648037652257,-0.055361188244505366,TEAD4,0.8665039726942864,,TEAD4
82,0.21472760267022648,-0.0434436942383132,E4F1,0.8087298626365956,,E4F1
83,0.8522245000226073,-0.01690176515505495,ERG,0.9367277030344199,,ERG
84,0.9375685380396873,0.03172165238736263,STAT1,0.9960222373819874,,STAT1
85,0.503655434128554,-0.03499267451923077,PBX1,0.8665039726942864,,PBX1
86,0.6192422791314512,0.015235267840659317,HIVEP2,0.9173959690836314,,HIVEP2
87,0.4814874114641243,0.04647780289010983,FOXP2,0.8665039726942864,,FOXP2
88,0.7605239805802174,-0.012347427750000084,BCL6B,0.924251268722842,,BCL6B
89,0.7631820401407386,-0.02086667408667578,REL,0.924251268722842,,REL
90,0.6143147283607037,-0.02101665931318686,HOXA9,0.9173959690836314,,HOXA9
91,0.9902791700164715,0.0067079046249999275,ENO1,0.9986112778038146,,ENO1
92,0.4366405966770138,-0.031936624038461536,TCF3,0.8572085333536468,,TCF3
93,0.35240749851919106,-0.043349509321428614,CEBPA,0.8335216475501758,,CEBPA
94,0.1321693511278914,0.0617406246703297,ARX,0.6312566024018694,,ARX
95,0.1350125832114824,0.07046604939560441,THRB,0.6353533327599172,,THRB
96,0.19790781778513367,0.12594950142857142,RARB,0.7818580455708984,,RARB
97,0.6898688862439428,-0.004265805357142882,NR4A2,0.9225277499387657,,NR4A2
98,0.6366169399478286,-0.039857757757225276,SPDEF,0.9225277499387657,,SPDEF
99,0.2966289279128564,-0.07290888311538457,EBF1,0.8087298626365956,,EBF1
100,0.29828132645606514,-0.040598820137362546,E2F3,0.8087298626365956,,E2F3
101,0.8467644809487299,0.02153502964285714,RFX3,0.9367277030344199,,RFX3
102,0.4242644628459846,0.0329954667615934,GLIS3,0.8543077033934988,,GLIS3
103,0.325516566002313,0.0689978258802198,GATA3,0.8225657208431482,,GATA3
104,0.9758725041220342,-0.04101736609230769,AHR,0.9986112778038146,,AHR
105,0.0010420639752788791,-0.2512920097417582,NFE2L2,0.1441982095559898,,NFE2L2
106,0.4242644628459846,0.02128058213461534,CREB3L1,0.8543077033934988,,CREB3L1
107,0.3710592720826765,0.06303068549450552,IRF5,0.8479161589679379,,IRF5
108,0.6366169399478286,-0.03908266946678571,ARID3A,0.9225277499387657,,ARID3A
109,0.589929659191321,-0.07019885760236266,ID4,0.9106563133508128,,ID4
110,0.9541962375851707,0.00429663977032968,ETV2,0.9974927052451551,,ETV2
111,0.5947724046572496,-0.03799928556593424,CEBPG,0.9106563133508128,,CEBPG
112,0.4263134106796182,0.021284383416346142,ATF3,0.8543077033934988,,ATF3
113,0.5778996022802572,0.07531517832417578,IRF8,0.9102694169015915,,IRF8
114,0.5947724046572496,-0.04747924803868134,NR1I2,0.9106563133508128,,NR1I2
115,0.04908615758629349,-0.16022121515752746,TFAP4,0.5066958202456102,,TFAP4
116,0.39616318604638595,-0.03647408496538457,RUNX3,0.8479161589679379,,RUNX3
117,0.8440370921040197,0.008338637894203305,TAL1,0.9367277030344199,,TAL1
118,0.18321879482483153,0.08152086900549438,ESR1,0.7516668505634114,,ESR1
119,0.7472747911608137,0.005223987741758232,BATF,0.924251268722842,,BATF
120,0.4925074142027186,-0.06210984141126377,MEIS2,0.8665039726942864,,MEIS2
121,0.934799596652627,-0.011007236074175863,NFYC,0.9960222373819874,,NFYC
122,0.9847249411729073,-0.0061407181381043785,CEBPD,0.9986112778038146,,CEBPD
123,0.9431085560210694,-0.009208963265110004,STAT6,0.9960222373819874,,STAT6
124,0.9930564695220676,0.004142289924725234,NR3C1,0.9986112778038146,,NR3C1
125,0.28202114602234746,0.03178067061564558,NR1D1,0.8087298626365956,,NR1D1
126,0.04325354225088597,0.06041922134615385,HINFP,0.49432619715298254,,HINFP
127,0.37295609921849304,-0.06180449710989011,ZNF282,0.8479161589679379,,ZNF282
128,0.7183816492358229,-0.019863824933791185,TCF12,0.9225277499387657,,TCF12
129,0.30130861499410977,-0.03818427351648346,HOXD8,0.8087298626365956,,HOXD8
130,0.4001104375129957,0.043374833515934054,FOXO3,0.8479161589679379,,FOXO3
131,0.2094508750251103,0.04151819178571431,EGR2,0.8075214458799433,,EGR2
132,0.8277113720840283,-0.05605028840944781,GLI2,0.9367277030344199,,GLI2
133,0.8659036888462877,0.0018631770879118381,FOXH1,0.9424802055469798,,FOXH1
134,0.021620078221139073,0.13970125120521976,BHLHE41,0.3486564679578623,,BHLHE41
135,0.7340966844601025,-0.029443664458791208,ELF1,0.924251268722842,,ELF1
136,0.05552924939308939,-0.13691786339835166,NR6A1,0.5384654486602608,,NR6A1
137,0.29170691017530664,-0.05360633728489006,GLIS1,0.8087298626365956,,GLIS1
138,0.9708430300597006,-0.009292384670329668,HSF4,0.9986112778038146,,HSF4
139,0.0875529680561845,0.07402016807692324,HOXB6,0.5882951117732967,,HOXB6
140,0.7578686239345345,-0.024044893509615417,POU4F1,0.924251268722842,,POU4F1
141,0.7552159985314381,0.019339009488186815,MEOX1,0.924251268722842,,MEOX1
142,0.2648113622312594,0.042157178719395644,ARNTL,0.8087298626365956,,ARNTL
143,0.9569695640945707,0.002401505876373611,RUNX2,0.9974927052451551,,RUNX2
144,0.6045096412634792,-0.017007898873626415,PAX8,0.9173959690836314,,PAX8
145,0.06052829219265673,-0.0906963980769232,MAX,0.5677273283093182,,MAX
146,0.8796214186133132,0.02680798610964287,NFIA,0.9541656066313906,,NFIA
147,0.7711721523406213,0.004533816016483727,RORC,0.924251268722842,,RORC
148,0.013720035867705592,-0.08877351004203296,DBP,0.3486564679578623,,DBP
149,0.2648113622312594,0.14902970335373628,ZNF524,0.8087298626365956,,ZNF524
150,0.20814582606290377,-0.07726531230252749,GATA5,0.8075214458799433,,GATA5
151,0.11688752481040914,-0.07481126888186806,ZNF350,0.6233401903367326,,ZNF350
152,0.023970132172103035,-0.1571239655879122,NR1H2,0.3486564679578623,,NR1H2
153,0.9680675327374246,0.01395493053087915,FLI1,0.9986112778038146,,FLI1
154,0.12570751510202044,-0.08047554707664833,HIC1,0.6233401903367326,,HIC1
155,0.2999395879315713,-0.06036282769230761,MLXIPL,0.8087298626365956,,MLXIPL
156,0.713168172995473,-0.01298526040109893,PPARD,0.9225277499387657,,PPARD
157,0.7899050142027911,0.0132108288214286,DNMT1,0.9321953681097069,,DNMT1
158,0.02372607938700869,0.10596557240659343,JDP2,0.3486564679578623,,JDP2
159,0.023970132172103035,0.16757228664972534,MNT,0.3486564679578623,,MNT
160,0.48368108221757916,0.024124728508241655,GATA2,0.8665039726942864,,GATA2
161,0.39616318604638595,-0.03976370538461527,TCF7L1,0.8479161589679379,,TCF7L1
162,0.48808394737413846,-0.031768971346154085,HIC2,0.8665039726942864,,HIC2
163,0.2381712299255022,-0.048838277457142865,ETV7,0.8087298626365956,,ETV7
164,0.43249327484295874,-0.033368124096153806,SRF,0.8543077033934988,,SRF
165,0.2497790023242781,-0.03103469562087907,MITF,0.8087298626365956,,MITF
166,0.7952791734185938,-0.0025719275387362517,HOXA5,0.9321953681097069,,HOXA5
167,0.9237316928357148,0.0049412772087912005,PBX3,0.9960222373819874,,PBX3
168,0.4727648037652257,0.04220460120821429,IRX5,0.8665039726942864,,IRX5
169,0.6719385157799727,0.03665775483516498,MECOM,0.9225277499387657,,MECOM
170,0.4120870506515509,0.039327131234725254,HOXC6,0.8543077033934988,,HOXC6
171,0.2200951076717568,0.15096787814835166,BCL6,0.8087298626365956,,BCL6
172,0.3290262883372593,0.04052557813736263,TCF7,0.8225657208431482,,TCF7
173,0.3469246535954416,0.08371668831593404,CDX2,0.8335216475501758,,CDX2
174,0.35794245616222836,0.05805187345474175,TBX19,0.8360699705979057,,TBX19
175,0.7818617455442556,-0.006757135383241762,ATF6,0.9300957567812707,,ATF6
176,0.6668476746456723,0.02654883093571425,POU6F1,0.9225277499387657,,POU6F1
177,0.7685061545197622,0.002611247715109871,KDM2B,0.924251268722842,,KDM2B
178,0.35240749851919106,0.044376342252747225,USF1,0.8335216475501758,,USF1
179,0.9875019831575279,0.0005429219230769777,ETV5,0.9986112778038146,,ETV5
180,0.2836207894846845,-0.06619115450291209,ARNT2,0.8087298626365956,,ARNT2
181,0.02184618741568612,-0.08950669824175828,HOXB2,0.3486564679578623,,HOXB2
182,0.7027798099197613,0.00885546485439559,ETS2,0.9225277499387657,,ETS2
183,0.6693912772610622,-0.02125567112637361,MEF2B,0.9225277499387657,,MEF2B
184,0.7446333717533998,-0.02363616376703298,IRF2,0.924251268722842,,IRF2
185,0.09761726642643488,0.08391475077692309,MSX1,0.5893872689897955,,MSX1
186,0.388336505421831,-0.07664320816016484,SREBF2,0.8479161589679379,,SREBF2
187,0.8168665573815427,0.023765577207417565,NFATC3,0.9367277030344199,,NFATC3
188,0.503655434128554,0.03581962365384617,ONECUT2,0.8665039726942864,,ONECUT2
189,0.8440370921040197,-0.05839021348076917,HNF1A,0.9367277030344199,,HNF1A
190,0.3542467002088247,0.037154810851648346,SPI1,0.8335216475501758,,SPI1
191,0.3290262883372593,0.06029554214285726,FOXJ3,0.8225657208431482,,FOXJ3
192,0.12123771321761939,-0.13273248423076922,MYC,0.6233401903367326,,MYC
193,0.09320133020917577,-0.08955261299725276,ZNF683,0.5893872689897955,,ZNF683
194,0.0010949949307502089,-0.20156136111263734,NFYA,0.1441982095559898,,NFYA
195,0.0477863290869614,0.10524388001840657,HOXA13,0.5066958202456102,,HOXA13
196,0.6567101165158882,0.017395098276648313,PLAG1,0.9225277499387657,,PLAG1
197,0.029012799604813736,-0.08967874255357147,TBX3,0.37136383494161584,,TBX3
198,0.4429024814848227,-0.026385537811923154,STAT3,0.8589623883342016,,STAT3
199,0.6192422791314512,0.03151397498681319,HES1,0.9173959690836314,,HES1
200,0.26943476701729735,0.10853646086263735,KLF6,0.8087298626365956,,KLF6
201,0.03390183689036882,0.17921000243131868,JUND,0.4017995483302971,,JUND
202,0.08022048463729645,0.11199810921098902,FOXC1,0.5882951117732967,,FOXC1
203,0.558885018065455,-0.0597317639010988,ELF3,0.8987095767886714,,ELF3
204,0.2756811392517922,-0.03924733279670323,RFX5,0.8087298626365956,,RFX5
205,0.02760875774463309,-0.10336934539560438,TBX15,0.3681167699284412,,TBX15
206,0.7053720107057587,0.034069923239010924,TFAP2A,0.9225277499387657,,TFAP2A
207,0.5263278061400738,-0.026196572085082442,SMAD4,0.8772130102334563,,SMAD4
208,0.8576913030908907,-0.008652301922362618,ELK1,0.9367277030344199,,ELK1
209,0.7157733253968664,-0.011913627320750006,ZNF333,0.9225277499387657,,ZNF333
