,P,EFFECTSIZE,TF,FDR,SNP,GENE
0,0.10342210948725811,-0.07023147837784754,CDC5L,0.2565509692707178,,CDC5L
1,0.0001903391055235699,0.10337599353769061,PPARG,0.003582853751031904,,PPARG
2,0.011625155611700456,-0.08337530905664492,HOXB8,0.05636439084460827,,HOXB8
3,5.5827999388115706e-05,-0.12019174745098038,NFATC1,0.0017864959804197026,,NFATC1
4,0.7851072560643472,0.007181852123976068,OVOL1,0.8846278941570109,,OVOL1
5,0.06719750895270846,-0.1085864521437907,ZNF219,0.18862458653391848,,ZNF219
6,0.8671991293637328,-0.0015175290282135115,TBX1,0.9406905810047271,,TBX1
7,0.25412328871521883,0.021363165250827904,NFATC2,0.43486338175866324,,NFATC2
8,0.0016326430250174593,0.11088393648511982,BHLHA15,0.014927021943016771,,BHLHA15
9,0.009863776497587193,0.12682462341396517,SOX4,0.05174440129881806,,SOX4
10,0.6941817732715152,-0.0026075911721132883,MAFK,0.8446318153873948,,MAFK
11,0.186445771448833,-0.023165060437908558,HOXA7,0.370275871158133,,HOXA7
12,5.79829103882623e-09,-0.2740997510159041,TEF,9.277265662121968e-07,,TEF
13,0.9483508814882597,0.008751432836601403,MXI1,0.9744660872868978,,MXI1
14,0.3282259268121708,0.018444654538812666,TEAD1,0.5199618642569043,,TEAD1
15,0.34029114996301035,0.0252221103529085,EMX1,0.5260539516336392,,EMX1
16,0.9387591529356752,0.005315500921568628,TP73,0.9744660872868978,,TP73
17,0.7233250522963264,-0.017273949726143822,THRA,0.862122086809477,,THRA
18,0.03721147492060288,-0.09346635980505458,YY1,0.12275950489271054,,YY1
19,0.38802616868994644,-0.045517720735185174,FOXP1,0.5695796971595544,,FOXP1
20,0.009196226184167088,-0.11088481023965124,IRF3,0.049877836931075725,,IRF3
21,0.43785073868177393,0.03137015750270153,CTCFL,0.6311361999016561,,CTCFL
22,0.3327174753017924,-0.026076261043856186,TCF7L2,0.5219097651792822,,TCF7L2
23,0.023934077718166396,-0.03821719593766881,BATF3,0.08605511089677804,,BATF3
24,0.0757134496632955,-0.14090922535431372,TCF4,0.2070795204466202,,TCF4
25,0.0024012133896884457,-0.17113910733640528,SOX9,0.019209707117507566,,SOX9
26,0.15456052052520752,0.04691276799679733,HIVEP1,0.3275454739607047,,HIVEP1
27,0.7643405161247692,-0.023837080357298424,BPTF,0.8793002239855247,,BPTF
28,0.007631712741067474,0.09638656471552724,SIX5,0.0444026923116653,,SIX5
29,0.8435564257750618,0.006478534119041368,SPIB,0.9276221864193119,,SPIB
30,0.7804786084489009,-0.004639092720043647,CUX1,0.8825199812849763,,CUX1
