,corr,corr_std,mse,mse_std
BLCA,0.8708076767854258,0.01105126327068428,0.27340842653931313,0.009962331646789635
BRCA,0.8619268108349669,0.006944638817233039,0.23619230745612074,0.007370481804232292
CESC,0.8615202206424386,0.008602634502863964,0.23690267726958592,0.00857557817503051
COAD,0.8962932211919077,0.007823952227116534,0.17612917224267005,0.005024219742175387
ESCA,0.8521977298364147,0.009427780333093366,0.2840273337332618,0.008612651737469033
GBM,0.8437831521621643,0.014999703090470756,0.28745971506754464,0.017473081715139987
HNSC,0.89548145326639,0.008552496298550245,0.21094746526924857,0.005132960372563845
KIRC,0.9091253704324946,0.005274347337603208,0.2599499095191384,0.006141456835590235
KIRP,0.8829395179262053,0.00961828606334602,0.27996130644609607,0.010643851595673793
LIHC,0.8682276649237859,0.00842241430797789,0.22883408027866942,0.009391747260093336
LUAD,0.8681938472997317,0.0060043879027239,0.2706918784672061,0.0052714585557336255
LUSC,0.8843186833226863,0.008937426176549055,0.24828043562312557,0.006295436722998435
PCPG,0.8053313161790692,0.016141639340229726,0.31486643282441046,0.016555477013880257
PRAD,0.9157419664999228,0.006875742779640073,0.18420696360866629,0.005042411958000967
STAD,0.8553666499973578,0.006332830162777566,0.2529161827668626,0.00736577734084636
THCA,0.8923547908779471,0.011515461921449408,0.18549842153509297,0.009678183682428414
UCEC,0.8529456276258898,0.006051975675236772,0.2879080409667117,0.007161359441652334
