P,EFFECTSIZE,SNP,GENE
2.1522780075247846e-267,-0.46023306636908323,,CDC5L
4.3957435300360765e-118,,,PPARG
2.3783131842695356e-247,,,HOXB8
1.976966762902403e-266,,,NFATC1
7.098079762254084e-247,,,OVOL1
8.329060350738165e-161,,,ZNF219
0.0,-0.4134582580954452,,TBX1
1.6967960980454525e-170,-0.9110212872860687,,NFATC2
0.0,,,BHLHA15
4.8938041429899947e-182,,,SOX4
3.8519694e-316,-0.38932147780203635,,MAFK
2.887166040801345e-306,-0.634525640268363,,HOXA7
8.616086417139981e-177,,,TEF
8.044329066053864e-117,-1.1546294089609646,,MXI1
1.1283269957737663e-293,,,TEAD1
3.814774933873195e-97,,,EMX1
1.2119763994e-314,-0.2625659612212275,,TP73
1.9294093719401088e-135,,,THRA
2.0499055e-317,-0.5021986742812153,,YY1
5.255984301719413e-105,,,FOXP1
0.0,-0.04772384442118742,,IRF3
6.949376957777807e-235,-0.39905919916920407,,CTCFL
9.752801386506943e-216,,,TCF7L2
1.3126479231331824e-261,-0.6196641826772462,,BATF3
7.03890420147696e-151,,,TCF4
9.169776150106768e-129,-2.4441948097758033,,SOX9
3.3465652843346865e-197,,,HIVEP1
1.808043540989676e-192,-0.774479912516322,,BPTF
3.000142315884983e-158,-2.168897933229798,,SIX5
5.894954841302163e-174,,,SPIB
3.340964238391178e-302,,,CUX1
1.0654113424469683e-259,,,HMGA2
4.496615004e-314,,,RORA
3.24520353247685e-232,,,TWIST1
1.9450720028358993e-222,,,RFX1
7.8208707844159075e-252,,,FOSL1
5.37094792493763e-310,,,ZFHX3
4.511605045551544e-44,,,HLF
7.807380504947594e-97,-1.3088592961004415,,NR3C2
1.8607587474655233e-179,-0.6377505858005842,,SP4
2.863882396654795e-293,,,ZNF423
0.0,,,GRHL1
5.22081053254675e-108,,,SMARCC2
7.892083335051937e-217,-1.117106694682298,,ETV6
2.9315244644497743e-282,-0.7996550289566866,,GCM1
1.4977133069862473e-122,,,SMAD3
1.6042548733915198e-115,-1.5213108764965564,,EMX2
1.8977295981168566e-190,,,RUNX1
8.60951262062138e-204,-0.4971546883080733,,TP63
1.631995770392219e-241,,,FOXO1
2.4621116036530554e-60,-1.57282368878372,,KLF8
4.3106775020069603e-265,-1.1510826397881146,,E2F8
0.0,,,CUX2
9.814968532888237e-234,-0.40616283057398633,,EPAS1
6.695132890149075e-239,,,TFEB
2.0176733527480326e-222,,,SOX18
3.3593860411600998e-136,-0.8772893701566952,,POU2F2
0.0007348970419506958,,,MAFF
1.0054511956228115e-278,,,AR
1.691164853e-315,-0.1836423069998187,,NR2F6
0.0,-0.22542589399417615,,ZBTB7C
6.385054768767631e-287,-1.0180256432141597,,NFYB
2.4367759568070935e-199,,,THAP1
0.0,-0.14063620489341017,,TEAD3
1.5351828572742276e-202,-0.6816272236768469,,RBPJ
1.954233466245532e-247,-0.7681888698411796,,FOXA3
3.5416668886880485e-197,,,ZNF274
9.370843837574615e-209,,,ARID5B
3.963352483113799e-294,-0.9142969603064556,,TGIF1
3.77183439509374e-84,,,PAX5
0.0,,,GLI1
1.525229650888451e-209,-0.5798760064115809,,BCL11A
2.314361552330199e-211,,,BACH2
1.3445037890869065e-288,,,TFDP1
4.179475544423308e-247,-0.5336176183215473,,ESR2
5.5837925445160505e-238,,,ELK3
3.9115849569962814e-181,-1.159933548870068,,RFX2
6.955126522073563e-173,-1.6012332625496652,,FOXK1
1.3137695047476328e-181,-0.9507625787721756,,RARG
